0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
310428,172130,409905,485403,443115,531994,414871,367308,468918,549686,458311,475110,479562,455396,12201,45394,150146,60634,181466,166763,143447,150101,385558,393191,173219,328195,8966,298172,415316,404069,17720,20587,0,41045,68070,342541,162751,170309,179588,169963,315701,193156,169310,492945,427674,379774,114906,329439,183247,493545,381153,418231,73342,178074,180307,292411,221134,397535,104680,161784,418419,757334,298499,417605,558462,365175,438668,461510,694334,685452,692248,439907,420999,482613,690405,495694,450035,23610,375807,275054,177610
301934,187460,401412,526492,484204,573083,455960,408397,510007,590775,499400,516199,520651,496485,44189,86483,141653,12340,172972,158270,134954,113504,377065,384697,174988,319702,34649,289678,406822,395576,49136,27178,42068,0,109159,334048,188126,133712,142991,133366,279104,156559,132713,484451,391077,343177,113084,292842,146650,485051,344556,381634,71521,141476,143710,255814,184537,360938,102858,125187,381822,720737,261902,381008,549968,328578,402071,424912,657737,648855,655651,403309,384402,446016,653808,459097,491124,64698,339209,266560,132331
377809,204019,419504,439570,397282,486160,369037,321474,423085,503852,412478,429277,433729,409563,66553,39086,217528,128100,248847,234145,210829,217568,452940,460572,201023,395577,76433,365553,482697,471451,85102,78634,68495,108511,0,409923,185221,237776,247055,237430,383168,260622,236777,560326,495141,447241,164040,396905,250714,560926,448620,485698,122477,245540,247774,359878,288601,465001,153815,229251,485885,824800,365965,485072,625843,432642,506135,528976,761801,752919,759715,507373,488466,550079,757872,563161,404201,44441,443273,342435,244991
39048,265133,203444,741611,699323,788202,671078,623515,725126,805893,714519,731318,735770,711604,351130,393633,200564,339826,217360,207245,199587,310153,172629,137579,220285,33407,340927,47222,173304,119966,327004,358062,349219,332215,410405,0,268793,334649,357818,355972,477103,379164,350022,271249,463533,500177,443401,488694,423213,271849,501942,470318,401838,367655,344647,478420,410715,478288,433176,335970,478289,750105,457056,433766,357774,516306,463502,651091,729837,720956,727752,621339,610580,641171,725908,573448,698420,365944,534364,215545,293905
251095,6653,234946,479785,437497,526375,409252,361689,463299,544067,452692,469491,473943,449777,175045,139554,109039,197046,151164,136461,126317,238278,225167,362888,50472,268862,171327,238839,385013,373767,153517,188332,163135,189435,185256,283208,0,262774,285943,284097,429835,307289,278147,462642,492408,493908,300621,443572,351338,463242,495287,499192,259058,295780,272772,406545,338840,507162,290396,264095,507163,778979,412632,462640,528159,479309,492376,579216,758712,749830,756626,554040,538705,596746,754783,609828,436593,179172,489940,244751,222029
299749,250945,399226,656139,613851,702729,585606,538043,639654,720421,629047,645845,650298,626132,173836,216130,151290,122064,127367,124556,145335,21261,374879,280832,223821,317516,164295,287493,303528,291711,178783,155576,171715,135780,238805,331862,254605,0,26072,35779,181517,58972,29830,330377,293490,245590,212532,195255,102548,330977,246969,284047,174167,47462,12901,158227,90523,263351,205505,15778,284235,623150,164315,283421,395894,230991,304484,330898,560150,551268,558064,305723,290388,348429,556221,361510,620770,194345,241622,174135,44738
326750,277946,426227,677682,635394,724272,607149,559586,661197,741964,650590,667389,671841,647675,195379,237673,178291,143607,154368,151557,172336,48262,401880,261855,250821,344517,185839,314494,284550,272733,200326,177119,193258,157323,260348,358863,281605,25613,0,36929,177154,54608,14760,311399,289127,241227,234075,190892,124091,311999,242606,279684,195710,45061,13490,153864,88122,258988,227048,37321,279871,618786,159952,228632,376916,226628,300121,328497,555787,546905,553701,301359,287987,344066,551858,357147,642314,215888,237259,155157,55069
326539,277735,426017,655389,613101,701979,584856,537293,638904,719671,628297,645095,649548,625382,173085,215380,178080,121314,154157,151346,172125,48051,401669,292557,250611,344306,163545,314283,315253,303436,178033,154826,170965,135030,238055,358652,281395,36758,23264,0,150358,27813,13752,342102,262331,214431,211782,164096,101798,342702,215810,252888,173417,31304,44047,127068,74365,232192,204755,24281,253076,591990,133156,252262,407619,199832,273325,314740,528991,520109,526905,274563,274230,317270,525062,330351,620020,193595,210463,185860,87175
447594,422085,546591,799739,757451,846329,729206,681643,783254,864021,772647,789446,793898,769732,317436,359730,322430,265664,298508,295696,316475,192402,522244,329885,394961,465362,307895,435338,343560,340763,322383,299176,315315,279380,382405,427016,425745,181108,176329,147575,0,124197,167666,362229,153395,105495,268343,55159,152071,351240,106874,143952,309583,149745,184110,54183,110249,128200,282288,168631,144139,483054,24344,148270,339232,90896,164389,158423,420054,411173,417969,143870,175785,182755,416125,221415,764370,337945,75949,251112,231525
348876,300072,448354,677726,635438,724316,607193,559630,661241,742008,650634,667433,671885,647719,195423,237717,200417,143651,176495,173684,194462,70389,424007,275998,272948,366644,185882,336620,298693,286876,200370,177163,193302,157367,260392,380990,303732,59095,54316,25562,125431,0,45653,325542,237404,189504,222437,139168,106164,326142,190883,227961,195754,26436,62097,102141,81826,207265,227092,46618,228148,567063,108228,227335,423241,174905,248398,264189,504064,495182,501978,249636,281691,292343,500135,305424,642357,215932,185536,186557,109512
